date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,execution,agent_drawdown,spy_drawdown
2024-09-26,978.5244444695095,-0.02147555553049052,1140.3081140796703,0.14030811407967025,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.050251603065638695,0.0
2024-09-27,983.5279345336379,-0.01647206546636215,1138.6543044648497,0.1386543044648496,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04539525359543284,-0.0014503182029493855
2024-09-30,989.1471657516664,-0.01085283424833361,1143.2172088510592,0.14321720885105926,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.03994127043590179,0.0
2024-10-01,983.2322579283525,-0.01676774207164744,1132.9757261756797,0.13297572617567965,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.045682235063773224,-0.0089584749040581
2024-10-02,984.3287979035968,-0.01567120209640327,1133.4539068805457,0.1334539068805456,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04461794168863198,-0.008540198568499302
2024-10-03,981.0435618050494,-0.01895643819495063,1131.3817499552626,0.13138174995526275,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04780656690467111,-0.010352764815088178
2024-10-04,981.4970244595149,-0.018502975540485078,1141.6629999476543,0.1416629999476542,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04736643949489372,-0.0013595044680677626
2024-10-07,977.8453447141048,-0.02215465528589511,1131.3418610256604,0.13134186102566026,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.05091073213257136,-0.010387656635551967
2024-10-08,979.0895100747621,-0.02091048992523792,1142.0415799411048,0.14204157994110478,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04970315467910669,-0.0010283513061668526
2024-10-09,990.507994447991,-0.00949200555200902,1149.9518708739672,0.1499518708739671,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.03862046043453571,0.0
